occupation,rating
Music Teacher,7
Optician,3
Orthodontist,3
Osteopath,3
PA Systems Supplier / Fitter,4
Party Planner,7
Pensions Consultant,2
Pest / Vermin Control,5
Photo Studios (no equip sales),2
Photocopier Servicing,2
Photographer,2
Physio / Sports Injury Clinic,3
Physiotherapist (mobile),3
Piano Tuner,2
Planning Consultant,2
Playwright,2
Podiatrist,3
Poet,2
Pressure Washer Cleaning Serv',7
Private Tutor,7
Property Agent,2
Property Consultant,2
Property Management,2
Property Valuer,2
Public Relations Consultant,2
Publisher,2
Quantity Surveyor,2
Reflexologist,3
Relocation Agent,2
Rural Development Officer,2
Rural Industries Organiser,2
Rural Transport Adviser,2
Saddle Measurer and Fitter,6
Safe Installer,6
Safety Consultant,2
Secretarial Services,3
Security Consultant,7
Snow Clearance Contractor,4
Solicitor,2
Speech Therapist,3
Stockbroker,2
Surveyor,2
Swimming Pool Cont' (Cleaning),7
Taxation Consultant,2
Telecommunications Consultant,2
Telesales,3
Television Repairer,2
Tourist Information,5
Training Consultant,7
Training Services,7
Translator,2
Transport Consultant,2
Trichologist / Hair Consultant,3
Typographer,2
Undertaker,3
Valuer,2
Veterinary Surgeon,3
Website Designer,6
Wedding Consultant,7
Weighing Systems Supply/Serv',7
Wide Load Surveyor,2
Wildlife Advisor,3
Wool Marketing Board,2
