occupation,rating
Sand Blaster,10
Sauna Installer,3
Scaffolding Contractor,10
Sealant Supplier / Installer,3
Security System Installer,6
Shed Erector,2
Shopfitter,5
Shot Blaster,10
Sign Erector,5
Signwriter,3
Site Clearance Contractor,10
Site Contractor,7
Solar Panel Installer,9
Spa/Whirlpool/Hot Tub Instal',3
Sportsground Maint' Cont',4
Stabling Erector,2
Stairlift Installer,5
Steel Erector,9
Steeplejack,10
Stone Wall Builder,2
Tarmacadam Contractor,10
Telecommunications Installer,3
Thatcher,9
Thermal Insulation Installer,5
Tiler (not roof),2
Timber Treater & Damp Proofer,8
Ventilation Contractor,6
Waterproofing - Structures,8
Window Fitter,3
Wood Preservation Services,5
Woodburning Stove Installer,5
Abattoir,10
Adhesive/Sealant Manufacturer,10
Agric Mill & Mix Contractor,6
Aircraft Maintenance Cont'r,10
Aluminium Fabricator,1
Animal Feed/Sup'ment Man'r,9
Asphalt Manufacturer,10
Badge Manufacturer - textile,4
Badge Manufacturer non-textile,1
Baker / Biscuit Manufacturer,4
Basket Maker,3
Bath/Sanitary Man'r ceramics,6
Bath/Sanitary Man'r plastics,7
Battery Manufacturer,10
Bed / Mattress Manufacturer,8
Biodiesel Manufacturer,10
Biscuit Manufacturer,4
Blacksmith,4
Boat Building / Repair,10
Boiler Maker,9
Bookbinder,3
Bottlers / Canner,3
Bottling Plant (glass),3
Bottling Plant (plastic),3
Bread  Pastries & Cake M'fer,3
Brewery,3
Brick / Tile Manufacturer,3
Brush (Natural Fibres) Man'r,7
Butter & Cheese M'fer,3
Cabinet Maker,2
Candle Maker,8
Cane Goods Manufacturer,3
Canvas Goods Manufacturer,5
Car Salvage / Breaker,10
Carpet / Rug Manufacturer,8
Cattle Dip Manufacturer,10
CD/ Record / Tape Manufacturer,7
Cereals Based Food M'fer,3
Charcoal Manufacturer,10
Chemical Manufacturer,10
Chem'l Recycle/Disposal Serv',10
Chocolate Confectionery M'fer,3
Cider Maker,3
Clock Maker / Repairer,4
Clothing Man'r - Safetywear,5
Clothing Man'r - Uniforms,5
Clothing Manufacturer,3
Clothing Repair and Alteration,3
Computer Games Manufacturer,5
Computer Manufacturer,5
Concrete Product Man'r - Dom',5
Concrete Products Manufacturer,5
Conservatory Man'r - not wood,4
Conservatory Man'r - wood,5
Conveyor Manufacturer,8
Coppersmith,2
Costumier,4
Curer (excluding Smoking),3
Cutlery Manufacturer,1
Cycle Component Manufacturer,4
Dairy Products Manufacturer,3
Diamond Cutter / Polisher,4
Distillery,6
Document Shredder Manufacturer,6
Double Glazing Man'r - Metal,1
Double Glazing Man'r - UPVC,4
Double Glazing Man'r - Wood,5
Drainpipe and Fittings Man'r,4
Dressmaker,3
Drinks Dispenser Manufacturer,6
Dyer,8
Egg Grader and Packer,1
Electric Cable Manufacturer,5
Electrical Goods Man'r - brown,5
Electrical Goods Man'r - comm',6
Electrical Goods Man'r - white,6
Electricity Gen-Bio-gas (AD),6
Electricity Gen-Bio-mass,6
Electricity Gen-Hydro,5
Electricity Gen-SolarPV Ground,5
Electricity Gen-SolarPV Roof,5
Electricity Gen-Wind Large,10
Electricity Gen-Wind Medium,7
Electricity Gen-Wind Small,7
Electronic Component Man'r,5
Electronic Equipment Man'r,6
Electronic Toys/Games Man'r,6
Electroplator,8
Enamellers,8
Engineer - Aeronautical,10
Engineer - Bakery,9
Engineer - Electronics,5
Engineer - Industrial,10
Engineer - Marine,10
Engineer - Mechanical (High),9
Engineer - Mechanical (Low),9
Engineer - Mechanical (Medium),9
Engineer - Mining,10
Engineer - Nuclear,10
Engineer - Packaging,9
Engineer - Plant (High),9
Engineer - Plant (Low),9
Engineer - Plant (Medium),9
Engineer - Pneumatic,9
Engineer - Production,9
Engineer - Quarrying,10
Engineer - Refrigeration,6
Engineer - Telecommunications,7
Engineer - Welding,9
Engraver,1
Equest' Prod' Man'r ex Saddles,5
Essential Oils Manufacturer,10
Explosive/Firework Man'r,10
Fabric Designer,3
Fashion Jewellery Manufacturer,4
Fertiliser Manufacturer,10
Fibre Glass Manufacturer,10
Fibre Optic Manufacturer,9
Fireplace Man'r Plaster/Stone,7
Fireplace Manufacturer - Metal,4
Fireplace Manufacturer - Wood,5
Fish Packer/Cutter(ex cooking),3
Fish Processor (ex cooking),3
Fish Product M'fer (inc cook),6
Floor Polish Manufacturer,8
Flooring Man'r - Ceramic,3
Flooring Manufacturer - Vinyl,4
Flooring Manufacturer - Wood,5
Flourescent Tube Manufacturer,6
FlowmeterManufacturer,3
Foam Manufacturer,10
Foil Container (Al) Man'r,6
Food Packer,3
Food Preparation Equip' Man'r,3
Food Preservation,3
Food Processor,3
Footwear Manufacturer,3
Foundry,10
Frozen Food Processor,3
Fruit Packing / Processing,3
Fruit/Veg Processor (ex cook),3
Fruit/Veg Processor (inc cook),4
Fruit/Vegetable Juice M'fer,3
Fruit/Vegetable Packer,3
Furniture Man'r Metal,3
Furniture Man'r Plas',4
Furniture Man'r Wood,5
Furniture Repairer / Restorer,3
Galvaniser,8
Garden Equipment Manufacturer,3
Garden Furniture Manufacturer,5
Glass Wool Manufacturer,8
Glassware Manufacturer,7
Goldsmith,4
Gunsmith,10
Harness Maker,5
